,DATE,USPRIV_PCH
0,1939-02-01,0.63235
1,1939-03-01,0.68585
2,1939-04-01,-0.70782
3,1939-05-01,0.77035
4,1939-06-01,0.78348
5,1939-07-01,-0.3736
6,1939-08-01,0.82197
7,1939-09-01,1.26987
8,1939-10-01,1.36153
9,1939-11-01,0.14274
10,1939-12-01,0.17178
11,1940-01-01,0.16419
12,1940-02-01,0.40797
13,1940-03-01,0.39543
14,1940-04-01,-0.45169
15,1940-05-01,0.57352
16,1940-06-01,0.18768
17,1940-07-01,-0.28099
18,1940-08-01,1.4053
19,1940-09-01,1.52476
20,1940-10-01,1.45975
21,1940-11-01,1.24161
22,1940-12-01,1.66023
23,1941-01-01,0.85352
24,1941-02-01,1.0862
25,1941-03-01,0.71855
26,1941-04-01,1.06686
27,1941-05-01,2.12738
28,1941-06-01,1.29677
29,1941-07-01,1.37093
30,1941-08-01,1.03745
31,1941-09-01,0.67537
32,1941-10-01,0.29747
33,1941-11-01,0.09987
34,1941-12-01,0.17536
35,1942-01-01,0.37727
36,1942-02-01,0.32473
37,1942-03-01,0.93508
38,1942-04-01,0.94127
39,1942-05-01,1.01486
40,1942-06-01,0.52126
41,1942-07-01,1.0487
42,1942-08-01,0.84
43,1942-09-01,0.62262
44,1942-10-01,0.46902
45,1942-11-01,0.25029
46,1942-12-01,0.54702
47,1943-01-01,0.54962
48,1943-02-01,0.36071
49,1943-03-01,0.34559
50,1943-04-01,0.23419
51,1943-05-01,-0.17867
52,1943-06-01,0.39102
53,1943-07-01,-0.0384
54,1943-08-01,-0.13171
55,1943-09-01,-0.19233
56,1943-10-01,0.49553
57,1943-11-01,0.37529
58,1943-12-01,-0.45576
59,1944-01-01,0.04661
60,1944-02-01,-0.22745
61,1944-03-01,-0.62622
62,1944-04-01,-0.63569
63,1944-05-01,-0.242
64,1944-06-01,-0.17845
65,1944-07-01,-0.24022
66,1944-08-01,-0.1904
67,1944-09-01,-0.51338
68,1944-10-01,0.06204
69,1944-11-01,-0.10427
70,1944-12-01,0.10438
71,1945-01-01,0.43962
72,1945-02-01,0.0477
73,1945-03-01,-0.21314
74,1945-04-01,-0.90214
75,1945-05-01,-0.32898
76,1945-06-01,-0.50363
77,1945-07-01,-0.79787
78,1945-08-01,-1.03203
79,1945-09-01,-5.14404
80,1945-10-01,0.55581
81,1945-11-01,1.2826
82,1945-12-01,0.40101
83,1946-01-01,2.2373
84,1946-02-01,-1.6978
85,1946-03-01,2.90145
86,1946-04-01,2.07626
87,1946-05-01,1.32283
88,1946-06-01,1.22975
89,1946-07-01,1.15379
90,1946-08-01,1.34353
91,1946-09-01,0.77108
92,1946-10-01,0.49133
93,1946-11-01,0.87365
94,1946-12-01,-0.01324
95,1947-01-01,0.43707
96,1947-02-01,0.09231
97,1947-03-01,0.17918
98,1947-04-01,-0.20516
99,1947-05-01,0.38481
100,1947-06-01,0.52249
101,1947-07-01,-0.175
102,1947-08-01,0.58086
103,1947-09-01,0.58011
104,1947-10-01,0.46814
105,1947-11-01,0.13901
106,1947-12-01,0.19795
107,1948-01-01,0.20269
108,1948-02-01,-0.35079
109,1948-03-01,0.36487
110,1948-04-01,-0.82949
111,1948-05-01,0.97842
112,1948-06-01,0.46785
113,1948-07-01,0.22393
114,1948-08-01,0.00254
115,1948-09-01,0.25897
116,1948-10-01,-0.18486
117,1948-11-01,-0.23594
118,1948-12-01,-0.4552
119,1949-01-01,-0.94523
120,1949-02-01,-0.43844
121,1949-03-01,-0.72272
122,1949-04-01,-0.09654
123,1949-05-01,-0.69473
124,1949-06-01,-0.62858
125,1949-07-01,-0.56639
126,1949-08-01,0.18632
127,1949-09-01,0.40118
128,1949-10-01,-2.16459
129,1949-11-01,0.86552
130,1949-12-01,0.74547
131,1950-01-01,0.05856
132,1950-02-01,-0.58789
133,1950-03-01,1.35132
134,1950-04-01,1.08776
135,1950-05-01,1.01076
136,1950-06-01,0.99806
137,1950-07-01,0.77571
138,1950-08-01,1.62839
139,1950-09-01,0.51244
140,1950-10-01,0.61428
141,1950-11-01,0.14089
142,1950-12-01,0.08145
143,1951-01-01,0.95938
144,1951-02-01,0.63269
145,1951-03-01,0.65056
146,1951-04-01,-0.12782
147,1951-05-01,0.30186
148,1951-06-01,0.07223
149,1951-07-01,-0.10105
150,1951-08-01,-0.07225
151,1951-09-01,-0.21931
152,1951-10-01,0.06521
153,1951-11-01,0.22207
154,1951-12-01,0.25288
155,1952-01-01,0.19459
156,1952-02-01,0.39562
157,1952-03-01,-0.07165
158,1952-04-01,0.27723
159,1952-05-01,-0.02383
160,1952-06-01,-0.90112
161,1952-07-01,-0.39452
162,1952-08-01,1.93209
163,1952-09-01,0.90035
164,1952-10-01,0.4579
165,1952-11-01,0.54697
166,1952-12-01,0.50215
167,1953-01-01,0.27527
168,1953-02-01,0.44291
169,1953-03-01,0.33761
170,1953-04-01,-0.05493
171,1953-05-01,0.24734
172,1953-06-01,0.02741
173,1953-07-01,0.06395
174,1953-08-01,-0.17803
175,1953-09-01,-0.26523
176,1953-10-01,-0.32784
177,1953-11-01,-0.72914
178,1953-12-01,-0.46109
179,1954-01-01,-0.58426
180,1954-02-01,-0.25756
181,1954-03-01,-0.5587
182,1954-04-01,0.02833
183,1954-05-01,-0.55932
184,1954-06-01,-0.20647
185,1954-07-01,-0.19501
186,1954-08-01,-0.07863
187,1954-09-01,0.13831
188,1954-10-01,0.11907
189,1954-11-01,0.41387
190,1954-12-01,0.37427
191,1955-01-01,0.39883
192,1955-02-01,0.4184
193,1955-03-01,0.70925
194,1955-04-01,0.61594
195,1955-05-01,0.53593
196,1955-06-01,0.57214
197,1955-07-01,0.38382
198,1955-08-01,0.34139
199,1955-09-01,0.25177
200,1955-10-01,0.2534
201,1955-11-01,0.44684
202,1955-12-01,0.36846
203,1956-01-01,0.3022
204,1956-02-01,0.32807
205,1956-03-01,0.19353
206,1956-04-01,0.12655
207,1956-05-01,0.08869
208,1956-06-01,0.17723
209,1956-07-01,-1.47947
210,1956-08-01,1.41414
211,1956-09-01,-0.12616
212,1956-10-01,0.29918
213,1956-11-01,0.0221
214,1956-12-01,0.1701
215,1957-01-01,-0.17201
216,1957-02-01,0.40648
217,1957-03-01,0.07261
218,1957-04-01,0.11652
219,1957-05-01,-0.2196
220,1957-06-01,-0.15846
221,1957-07-01,0.00882
222,1957-08-01,0.00441
223,1957-09-01,-0.40995
224,1957-10-01,-0.42049
225,1957-11-01,-0.45783
226,1957-12-01,-0.56041
227,1958-01-01,-0.63541
